id_ramal;empresa;linea;ramal;desclinearamal;fin_ida;fin_vuelta;text_recorrido
16;2;116;UNICO;116;Av. J. Cura y Bv. Oroño;Siunda y Calazans; IDA: Desde Siunda (ex calle 1635) y Av. Calasanz, por Siunda, Bernhein, Ing. Miglierini, Av. Calasanz (O-E), (dársena giro izquierdo) Urizar (S-N), A. Magaldi, Bv. Wilde, Av. Mendoza, Colombres, White, Donado, Av. Eva Perón - Av. Córdoba, Ricchieri, San Lorenzo, Laprida, Cochabamba, Entre Ríos, Gálvez, Bv. Oroño, Gaboto, Santiago, Av. J. Cura hasta Bv. Oroño. VUELTA: Desde Av. J. Cura y Bv. Oroño, por Bv. Oroño, Virasoro, Av. San Martín, 1º Junta, Maipú, Rioja, Alvear, Santa Fe, Av. Eva Perón, Juez Zuviría, Chassaing, Colombres, Av. Mendoza, Bv. Wilde, Bernheim, Urizar (N-S), Av. Calasanz (E-O) hasta Siunda (ex calle 1635).
;;;;;;;
17;2;120;UNICO;120;Alvear y Montevideo;Provincias Unidas y Rueda; IDA: Desde Av. Provincias Unidas y Rueda, por Av. Provincias Unidas, Av. Pellegrini, Cafferata, Cochabamba, San Nicolás, Córdoba, Vera Mujica, Salta, Entre Ríos, Av. Pellegrini, Alvear hasta Montevideo. VUELTA: Desde Alvear y Montevideo, por Montevideo, Mitre, Catamarca, Corrientes, Jujuy, Ovidio Lagos, Catamarca, Av. Francia, Urquiza, Cafferata, Av. Pellegrini, Bolivia, Montevideo, Av. Provincias Unidas, Rueda, República del Salvador, Amenábar , Av. Provincias Unidas hasta Rueda.
;;;;;;;
18;2;121;UNICO;121;Buenos Aires y Santa Fe;Camino Limíte De Municipio y Bv. Segui; IDA: Desde Camino Límite de Municipio y Bv. Segui, por Camino Límite de Municipio, Av. Rivarola, Colombres, Bv. 27 de Febrero (O-E), Guatemala, Montes Flores, Colombia, Ocampo, P. L. Funes, Cerrito, Matienzo, Av. Pte. Perón, Lima, La Paz, Bv. Avellaneda, Mendoza, Buenos Aires hasta Santa Fe. VUELTA: Desde Buenos Aires y Santa Fe, por Santa Fe, Bv. Avellaneda, Av. Pte. Perón-Bv. 27 de Febrero, Liniers, Riobamba, Av. Rouillón, Viamonte, Colombia, Bv. 27 de Febrero (E-O), José M. Rosa (N-S), Calle 1711, Colombres, Av. Rivarola, Camino Límite de Municipio hasta Bv. Segui.
;;;;;;;
19;2;122;ROJO;122R;Centenario y Serrano;Ribamba y Brasil; IDA: Desde Riobamba y Brasil, por Brasil, Cerrito, Mejico, La Paz, Ecuador, Pasco, Av. Provincias Unidas, Av. Pte. Perón, San Nicolás, Córdoba, Moreno, San Lorenzo, Sarmiento, 9 de Julio, Colón, Ayolas, Necochea (N-S)-Pavón, E. de Luca, Serrano, Centenario hasta Ayacucho. VUELTA: Desde Ayacucho y Centenario, por Ayacucho, H. de la Quintana, Pavón, Lamadrid, Cucha Cucha, J. M. Gutiérrez, Pavón, Necochea, Av. Pellegrini, Ayacucho, E. Zeballos, Buenos Aires, Rioja, Pte. Roca, Santa Fe, Cafferata, Av. Pte. Perón, Av. Provincias Unidas, Av. Pellegrini, Perú, Riobamba hasta Brasil.
;;;;;;;
20;2;122;VERDE;122V;Centenario y Serrano;Rueda y Provincias Unidas; IDA: Desde Rueda y Av. Provincias Unidas, por Av. Provincias Unidas (N-S), Bv. Segui, Barra, Juan XXIII, Rouillón, Rivero, Comandos 602, Juan XXIII, Av. Rouillón, Garay, Liniers, Av. Pte. Perón, San Nicolás, Córdoba, Moreno, San Lorenzo, Sarmiento, 9 de Julio, Colón, Ayolas, Necochea (N-S)–Pavón, E. de Luca, Serrano, Centenario hasta Ayacucho. VUELTA: Desde Ayacucho y Centenario, por Ayacucho, H. de la Quintana, Pavón, Lamadrid, Cucha-Cucha, J.M. Gutiérrez, Pavón-Necochea, Av. Pellegrini, Ayacucho, E. Zeballos, Buenos Aires, Rioja, Pte. Roca, Santa Fe, Cafferata, Av. Pte. Perón, Bv. 27 de Febrero, Matienzo, Rueda, Larrea, Gaboto, Av. Rouillón, Juan XXIII, C. Aldao, Rivero, Rouillón, Juan XXIII, Garzón, Bv. Segui, Av. Provincias Unidas (S-N), Av. Pte. Perón (E-O), Rep. del Salvador, Rueda hasta Av. Provincias Unidas. 
;;;;;;;
