"id_ppd";"id_ramal";"temporada";"dia";"direccion";"inicio";"pto1";"pto2";"pto3";"pto4";"pto5";"pto6";"pto7";"pto8";"pto9";"pto10";"pto11";"pto12";"pto13";"pto14";"pto15";"pto16";"pto17";"pto18";"pto19";"pto20";"pto21";"pto22";"pto23";"pto24";"pto25";"fin"
"5628";"49";"INVIERNO 16";"FESTIVO";"IDA";"Greño y Marmo";"Chubut y Las Heras";"Pasteur y Mitre";"Mitre y Filipini";"San Diego y San Martin";"Ayacucho y Arijon";"Ayacucho y Uriburu";"1 de Mayo y Amenabar";"1 de Mayo y Pellegrini";"San Juan y Maipú";"Santa Fe y Corrientes";"Santa Fe y Oroño";"San Nicolas y Catamarca";"Bv. Rondeau y Av. Sorrento";"Casiano Casas y Baigorria";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Mini Terminal de Bº Rucci (por Castro)"
"5629";"49";"INVIERNO 16";"FESTIVO";"VUELTA";"Mini Terminal de Bº Rucci (por Castro)";"Baigorria y Casiano Casas";"Bv. Rondeau y Av. Sorrento";"Alberdi y Salta";"San Lorenzo y Oroño";"San Lorenzo y Entre Rios";"San Luis y Buenos Aires";"Alem y Pellegrini";"Alem y Uriburu";"Ayacucho y Arijon";"Filipini y San Diego";"Mosconi y Vias";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Greño y Marmo"
"5632";"52";"INVIERNO 16";"FESTIVO";"IDA";"Desde Pérez, Cam. Lím. Munic. y Uruguay";"Rivarola y Pcias. Unidas";" Pcias. Unidas y Mendoza";"Mendoza y Avellaneda";"San Luis y Cafferata";"San Luis y Moreno";"San Luis y Buenos Aires";"Colón y Pellegrini";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Berutti y Riobamba"
"5633";"52";"INVIERNO 16";"FESTIVO";"VUELTA";"Berutti y Riobamba";"Necochea y Pellegrini";"3 de Febrero y Buenos Aires";"Rioja y Maipú";"Rioja y Oroño";"Rioja y Francia";"San Juan y Avellaneda";"San Juan y Tte. Agneta";"Mendoza y Pcias. Unidas";"Pcias. Unidas y Rivarola";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Hacia Pérez, Cam. Lím. Munic. y Uruguay"
"5634";"53";"INVIERNO 16";"FESTIVO";"IDA";"Soldini";"Desde Pérez, Cam. Lím. Munic. y Uruguay";"Rivarola y Pcias. Unidas";" Pcias. Unidas y Mendoza";"Mendoza y Avellaneda";"San Luis y Cafferata";"San Luis y Moreno";"San Luis y Buenos Aires";"Colón y Pellegrini";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Berutti y Riobamba"
"5635";"53";"INVIERNO 16";"FESTIVO";"VUELTA";"Berutti y Riobamba";"Necochea y Pellegrini";"3 de Febrero y Buenos Aires";"Rioja y Maipú";"Rioja y Oroño";"Rioja y Francia";"San Juan y Avellaneda";"San Juan y Tte. Agneta";"Mendoza y Pcias. Unidas";"Pcias. Unidas y Rivarola";"Hacia Pérez, Cam. Lím. Munic. y Uruguay";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Soldini"
"5636";"54";"INVIERNO 16";"FESTIVO";"IDA";"Lituania y Av. Ntra. Sra. del Rosario";"Ab. Grandoli y Uriburu";"Gaboto y Necochea";"Necochea y Pellegrini";"Maipu y Santa Fe";"Santa Fe y Corrientes";"Santa Fe y Oroño";"Santa Fe y Francia";"San Nicolás y Salta";"Av. Alberdi  y Reconquista";"J.J. Paso y Olavarria";"J.J. Paso y Av. 25 de Mayo";"Tarragona y J.J.Paso";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Acevedo y J.B. Justo"
"5637";"54";"INVIERNO 16";"FESTIVO";"VUELTA";"Acevedo y J.B. Justo";"Ayala Gauna y J.Colombres";"J. J. Paso y Av. 25 de Mayo";"J. J. Paso y Solis";"J. J. Paso y Av. Alberdi";"Salta y Cafferata";"Cafferata y Córdoba";"Ovidio Lagos y San Luis";"San Luis y Moreno";"Mendoza y Alem";"Colón y 27 de Febrero";"Ayolas y Ab. Grandoli";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Lituania y Av. Ntra. Sra. del Rosario"
"5638";"55";"INVIERNO 16";"FESTIVO";"IDA";"Isola y Maestros Santafesinos";"Ab. Grandoli y Uriburu";"Gaboto y Necochea";"Necochea y Pellegrini";"Maipu y Santa Fe";"Santa Fe y Corrientes";"Santa Fe y Oroño";"Santa Fe y Francia";"San Nicolás y Salta";"Av. Alberdi  y Reconquista";"J.J. Paso y Olavarria";"J.J. Paso y Av. 25 de Mayo";"Tarragona y Martínez Estrada";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"H. Pujato (ex Av. Central) y Lago Puelo"
"5639";"55";"INVIERNO 16";"FESTIVO";"VUELTA";"H. Pujato (ex Av. Central) y Lago Puelo";"Ayala Gauna y J.Colombres";"J. J. Paso y Av. 25 de Mayo";"J. J. Paso y Solis";"J. J. Paso y Av. Alberdi";"Salta y Cafferata";"Cafferata y Córdoba";"Ovidio Lagos y San Luis";"San Luis y Moreno";"Mendoza y Alem";"Colón y 27 de Febrero";"Ayolas y Ab. Grandoli";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Isola y Maestros Santafesinos"
